,time_s,mmix_g,fmix
0,0.00e+00,<function total_mix at 0x7f8a63986680>,0.00e+00
1,9.98e-02,<function total_mix at 0x7f8a63986680>,8.13e-04
2,2.00e-01,<function total_mix at 0x7f8a63986680>,1.96e-03
3,3.00e-01,<function total_mix at 0x7f8a63986680>,2.56e-02
4,4.00e-01,<function total_mix at 0x7f8a63986680>,3.84e-02
5,5.00e-01,<function total_mix at 0x7f8a63986680>,4.81e-02
6,6.00e-01,<function total_mix at 0x7f8a63986680>,5.51e-02
7,7.00e-01,<function total_mix at 0x7f8a63986680>,6.07e-02
8,8.00e-01,<function total_mix at 0x7f8a63986680>,6.53e-02
9,9.00e-01,<function total_mix at 0x7f8a63986680>,6.87e-02
10,1.00e+00,<function total_mix at 0x7f8a63986680>,7.16e-02
11,1.10e+00,<function total_mix at 0x7f8a63986680>,7.44e-02
12,1.20e+00,<function total_mix at 0x7f8a63986680>,7.64e-02
13,1.30e+00,<function total_mix at 0x7f8a63986680>,7.82e-02
14,1.40e+00,<function total_mix at 0x7f8a63986680>,8.10e-02
15,1.50e+00,<function total_mix at 0x7f8a63986680>,8.26e-02
16,1.60e+00,<function total_mix at 0x7f8a63986680>,8.43e-02
17,1.70e+00,<function total_mix at 0x7f8a63986680>,8.59e-02
18,1.80e+00,<function total_mix at 0x7f8a63986680>,8.64e-02
19,1.90e+00,<function total_mix at 0x7f8a63986680>,8.80e-02
20,2.00e+00,<function total_mix at 0x7f8a63986680>,8.93e-02
21,2.10e+00,<function total_mix at 0x7f8a63986680>,9.08e-02
22,2.20e+00,<function total_mix at 0x7f8a63986680>,9.19e-02
23,2.30e+00,<function total_mix at 0x7f8a63986680>,9.29e-02
24,2.40e+00,<function total_mix at 0x7f8a63986680>,9.40e-02
25,2.50e+00,<function total_mix at 0x7f8a63986680>,9.69e-02
26,2.60e+00,<function total_mix at 0x7f8a63986680>,1.02e-01
27,2.70e+00,<function total_mix at 0x7f8a63986680>,1.04e-01
28,2.80e+00,<function total_mix at 0x7f8a63986680>,1.06e-01
29,2.90e+00,<function total_mix at 0x7f8a63986680>,1.06e-01
30,3.00e+00,<function total_mix at 0x7f8a63986680>,1.07e-01
31,3.10e+00,<function total_mix at 0x7f8a63986680>,1.07e-01
32,3.20e+00,<function total_mix at 0x7f8a63986680>,1.07e-01
33,3.30e+00,<function total_mix at 0x7f8a63986680>,1.08e-01
34,3.40e+00,<function total_mix at 0x7f8a63986680>,1.09e-01
35,3.50e+00,<function total_mix at 0x7f8a63986680>,1.10e-01
36,3.60e+00,<function total_mix at 0x7f8a63986680>,1.11e-01
37,3.70e+00,<function total_mix at 0x7f8a63986680>,1.12e-01
38,3.80e+00,<function total_mix at 0x7f8a63986680>,1.13e-01
39,3.90e+00,<function total_mix at 0x7f8a63986680>,1.14e-01
40,4.00e+00,<function total_mix at 0x7f8a63986680>,1.16e-01
41,4.10e+00,<function total_mix at 0x7f8a63986680>,1.17e-01
42,4.20e+00,<function total_mix at 0x7f8a63986680>,1.18e-01
43,4.30e+00,<function total_mix at 0x7f8a63986680>,1.20e-01
44,4.40e+00,<function total_mix at 0x7f8a63986680>,1.22e-01
45,4.50e+00,<function total_mix at 0x7f8a63986680>,1.23e-01
46,4.60e+00,<function total_mix at 0x7f8a63986680>,1.25e-01
47,4.70e+00,<function total_mix at 0x7f8a63986680>,1.27e-01
48,4.80e+00,<function total_mix at 0x7f8a63986680>,1.28e-01
49,4.90e+00,<function total_mix at 0x7f8a63986680>,1.30e-01
50,5.00e+00,<function total_mix at 0x7f8a63986680>,1.33e-01
51,5.10e+00,<function total_mix at 0x7f8a63986680>,1.35e-01
52,5.20e+00,<function total_mix at 0x7f8a63986680>,1.37e-01
53,5.30e+00,<function total_mix at 0x7f8a63986680>,1.40e-01
54,5.40e+00,<function total_mix at 0x7f8a63986680>,1.44e-01
55,5.50e+00,<function total_mix at 0x7f8a63986680>,1.49e-01
56,5.60e+00,<function total_mix at 0x7f8a63986680>,1.55e-01
57,5.70e+00,<function total_mix at 0x7f8a63986680>,1.63e-01
58,5.80e+00,<function total_mix at 0x7f8a63986680>,1.72e-01
59,5.90e+00,<function total_mix at 0x7f8a63986680>,1.83e-01
60,6.00e+00,<function total_mix at 0x7f8a63986680>,1.95e-01
61,6.10e+00,<function total_mix at 0x7f8a63986680>,2.07e-01
62,6.20e+00,<function total_mix at 0x7f8a63986680>,2.21e-01
63,6.30e+00,<function total_mix at 0x7f8a63986680>,2.38e-01
64,6.40e+00,<function total_mix at 0x7f8a63986680>,2.54e-01
65,6.50e+00,<function total_mix at 0x7f8a63986680>,2.71e-01
66,6.60e+00,<function total_mix at 0x7f8a63986680>,2.89e-01
67,6.70e+00,<function total_mix at 0x7f8a63986680>,3.07e-01
68,6.80e+00,<function total_mix at 0x7f8a63986680>,3.24e-01
69,6.90e+00,<function total_mix at 0x7f8a63986680>,3.42e-01
70,7.00e+00,<function total_mix at 0x7f8a63986680>,3.60e-01
71,7.10e+00,<function total_mix at 0x7f8a63986680>,3.78e-01
72,7.20e+00,<function total_mix at 0x7f8a63986680>,3.96e-01
73,7.30e+00,<function total_mix at 0x7f8a63986680>,4.14e-01
74,7.40e+00,<function total_mix at 0x7f8a63986680>,4.32e-01
75,7.50e+00,<function total_mix at 0x7f8a63986680>,4.50e-01
76,7.60e+00,<function total_mix at 0x7f8a63986680>,4.69e-01
77,7.70e+00,<function total_mix at 0x7f8a63986680>,4.87e-01
78,7.80e+00,<function total_mix at 0x7f8a63986680>,5.06e-01
79,7.90e+00,<function total_mix at 0x7f8a63986680>,5.24e-01
80,8.00e+00,<function total_mix at 0x7f8a63986680>,5.41e-01
81,8.10e+00,<function total_mix at 0x7f8a63986680>,5.56e-01
82,8.20e+00,<function total_mix at 0x7f8a63986680>,5.70e-01
83,8.30e+00,<function total_mix at 0x7f8a63986680>,5.83e-01
84,8.40e+00,<function total_mix at 0x7f8a63986680>,5.95e-01
85,8.50e+00,<function total_mix at 0x7f8a63986680>,6.03e-01
